trip_id,start_time,end_time,headway_secs
14M_14M_S_1_36_0.30833,07:21:00,07:30:45,195
14M_14M_S_1_42_0.34931,07:43:30,08:27:30,240
14M_14M_S_1_16_0.69931,15:23:30,17:11:30,240
14M_14M_S_1_27_0.74028,17:10:00,17:50:00,240
14M_14M_S_1_31_0.78056,18:34:30,18:54:30,300
14M_14M_S_1_20_0.31736,07:07:30,07:43:30,180
14M_14M_S_1_11_0.65903,15:37:00,15:49:00,240
14M_14M_S_1_21_0.70208,15:23:30,17:11:30,240
14M_14M_S_1_28_0.74306,17:10:00,17:50:00,240
14M_14M_S_1_32_0.78403,18:34:30,18:54:30,300
14M_14M_S_1_37_0.82292,19:15:45,21:00:45,450
14M_14M_S_1_8_0.86250,19:57:00,21:19:30,450
14M_14M_S_1_13_0.90556,21:09:00,22:19:00,525
14M_14M_S_1_29_0.95278,21:36:15,22:52:15,570
14M_14M_S_1_34_0.99792,23:46:30,23:57:30,660
14M_14M_S_1_5_0.61944,14:46:30,14:52:00,330
14M_14M_S_1_12_0.66111,15:49:00,15:52:30,210
14M_14M_S_1_22_0.70486,15:23:30,17:11:30,240
14M_14M_S_1_29_0.74583,17:50:00,17:59:00,270
14M_14M_S_1_34_0.78750,18:34:30,18:54:30,300
14M_14M_S_1_3_0.82847,19:15:45,21:00:45,450
14M_14M_S_1_12_0.86736,19:57:00,21:19:30,450
14M_14M_S_1_16_0.91111,21:09:00,22:19:00,525
14M_14M_S_1_32_0.95972,22:52:15,23:21:30,585
14M_14M_S_1_37_1.00625,23:57:30,24:09:45,735
14M_14M_S_1_13_0.66319,15:52:30,16:12:00,195
14M_14M_S_1_23_0.70764,15:23:30,17:11:30,240
14M_14M_S_1_31_0.74931,17:50:00,17:59:00,270
14M_14M_S_1_37_0.79097,18:54:30,18:59:40,310
14M_14M_S_1_8_0.83333,19:15:45,21:00:45,450
14M_14M_S_1_13_0.87292,19:57:00,21:19:30,450
14M_14M_S_1_28_0.91736,21:09:00,22:19:00,525
14M_14M_S_1_29_0.26875,06:22:00,06:27:30,330
14M_14M_S_1_37_0.31042,07:21:00,07:30:45,195
